Datetime,SystemDemand,WindGeneration,SolarGeneration,CO2Intensity,InterconnectorFlow
2026-06-29 00:00:00,3895,2093,3,210,0
2026-06-29 00:15:00,3888,2006,3,218,0
2026-06-29 00:30:00,3832,2032,3,214,0
2026-06-29 00:45:00,3775,1928,3,220,0
2026-06-29 01:00:00,3726,1918,3,220,0
2026-06-29 01:15:00,3690,1884,3,223,0
2026-06-29 01:30:00,3668,1882,3,223,0
2026-06-29 01:45:00,3627,1857,3,224,0
2026-06-29 02:00:00,3647,1871,3,224,0
2026-06-29 02:15:00,3761,1785,3,232,38
2026-06-29 02:30:00,3751,1825,3,233,1
2026-06-29 02:45:00,3720,1795,3,235,0
2026-06-29 03:00:00,3688,1775,3,229,46
2026-06-29 03:15:00,3689,1758,3,217,119
2026-06-29 03:30:00,3662,1656,3,218,126
2026-06-29 03:45:00,3614,1485,3,232,74
2026-06-29 04:00:00,3612,1444,3,226,90
2026-06-29 04:15:00,3619,1484,3,220,115
2026-06-29 04:30:00,3561,1281,3,244,40
2026-06-29 04:45:00,3541,1269,3,247,0
2026-06-29 05:00:00,3503,1216,3,252,0
2026-06-29 05:15:00,3547,1267,7,243,53
2026-06-29 05:30:00,3568,1409,20,242,1
2026-06-29 05:45:00,3616,1379,38,249,0
2026-06-29 06:00:00,3732,1501,60,244,0
2026-06-29 06:15:00,3881,1466,77,234,47
2026-06-29 06:30:00,3953,1464,95,223,122
2026-06-29 06:45:00,4065,1466,130,211,197
2026-06-29 07:00:00,4213,1406,174,205,272
2026-06-29 07:15:00,4386,1237,199,208,347
2026-06-29 07:30:00,4477,1163,211,203,422
2026-06-29 07:45:00,4595,1202,274,195,497
2026-06-29 08:00:00,4693,1255,312,185,530
2026-06-29 08:15:00,4833,1320,351,184,530
2026-06-29 08:30:00,4863,1307,417,180,530
2026-06-29 08:45:00,4902,1343,467,176,530
2026-06-29 09:00:00,4955,1448,471,171,530
2026-06-29 09:15:00,4975,1415,595,170,530
2026-06-29 09:30:00,4939,1368,630,170,530
2026-06-29 09:45:00,4960,1488,581,165,530
2026-06-29 10:00:00,4974,1493,601,164,530
2026-06-29 10:15:00,4926,1517,582,161,503
2026-06-29 10:30:00,4891,1465,564,168,431
2026-06-29 10:45:00,4897,1471,722,154,487
2026-06-29 11:00:00,4895,1558,677,153,530
2026-06-29 11:15:00,4927,1486,609,165,530
2026-06-29 11:30:00,4883,1549,576,166,530
2026-06-29 11:45:00,4879,1536,648,167,530
2026-06-29 12:00:00,4869,1512,709,161,530
2026-06-29 12:15:00,4890,1622,664,158,530
2026-06-29 12:30:00,4906,1668,653,162,530
2026-06-29 12:45:00,4926,1675,665,168,509
2026-06-29 13:00:00,4906,1634,743,173,529
2026-06-29 13:15:00,4891,1607,759,174,530
2026-06-29 13:30:00,4815,1628,643,181,497
2026-06-29 13:45:00,4844,1631,711,183,423
2026-06-29 14:00:00,4804,1517,791,188,350
2026-06-29 14:15:00,4825,1481,723,197,349
2026-06-29 14:30:00,4852,1488,654,199,312
2026-06-29 14:45:00,4882,1520,648,195,284
2026-06-29 15:00:00,4886,1410,545,210,212
2026-06-29 15:15:00,4884,1426,609,206,210
2026-06-29 15:30:00,4941,1448,515,207,285
2026-06-29 15:45:00,4954,1577,526,190,360
2026-06-29 16:00:00,4963,1516,582,189,423
2026-06-29 16:15:00,5060,1555,482,180,483
2026-06-29 16:30:00,5099,1549,415,178,530
2026-06-29 16:45:00,5171,1490,387,181,530
2026-06-29 17:00:00,5246,1551,382,177,509
2026-06-29 17:15:00,5306,1552,352,186,434
2026-06-29 17:30:00,5358,1601,343,192,359
2026-06-29 17:45:00,5354,1488,308,208,284
2026-06-29 18:00:00,5336,1402,307,207,209
2026-06-29 18:15:00,5298,1434,287,209,134
2026-06-29 18:30:00,5285,1457,231,211,59
2026-06-29 18:45:00,5260,1511,170,214,-16
2026-06-29 19:00:00,5269,1577,157,212,-48
2026-06-29 19:15:00,5225,1679,138,215,-72
2026-06-29 19:30:00,5184,1689,127,216,-72
2026-06-29 19:45:00,5135,1625,94,220,-72
2026-06-29 20:00:00,5059,1615,93,227,-72
2026-06-29 20:15:00,5100,1578,75,229,-69
2026-06-29 20:30:00,5075,1589,60,226,-70
2026-06-29 20:45:00,5071,1631,53,226,-72
2026-06-29 21:00:00,5002,1626,36,230,-72
2026-06-29 21:15:00,4938,1623,26,235,-72
2026-06-29 21:30:00,4849,1636,15,233,-72
2026-06-29 21:45:00,4785,1694,6,235,-72
2026-06-29 22:00:00,4728,1701,3,236,-37
2026-06-29 22:15:00,4664,1751,1,242,0
2026-06-29 22:30:00,4650,1812,2,243,-35
2026-06-29 22:45:00,4562,1834,2,247,-72
2026-06-29 23:00:00,4444,1873,2,247,-72
2026-06-29 23:15:00,4414,1881,2,249,0
2026-06-29 23:30:00,4304,1943,2,239,0
2026-06-29 23:45:00,4222,2018,2,241,-25
2026-06-30 00:00:00,4133,2074,2,239,-25
2026-06-30 00:15:00,4134,2169,2,229,-32
2026-06-30 00:30:00,4060,2177,2,225,-1
2026-06-30 00:45:00,3990,2239,2,218,0
2026-06-30 01:00:00,3945,2312,2,213,0
2026-06-30 01:15:00,3916,2300,2,213,0
2026-06-30 01:30:00,3877,2359,2,207,0
2026-06-30 01:45:00,3849,2366,2,207,-4
2026-06-30 02:00:00,3853,2342,2,210,-1
2026-06-30 02:15:00,3991,2451,2,205,0
2026-06-30 02:30:00,3947,2441,2,205,0
2026-06-30 02:45:00,3924,2418,2,204,0
2026-06-30 03:00:00,3922,2391,2,205,0
2026-06-30 03:15:00,3914,2351,2,208,0
2026-06-30 03:30:00,3889,2392,2,204,0
2026-06-30 03:45:00,3847,2394,2,204,0
2026-06-30 04:00:00,3815,2214,2,218,0
2026-06-30 04:15:00,3828,2193,2,220,0
2026-06-30 04:30:00,3797,2139,2,222,0
2026-06-30 04:45:00,3744,2065,2,227,0
2026-06-30 05:00:00,3734,2032,2,224,0
2026-06-30 05:15:00,3742,1958,2,228,0
2026-06-30 05:30:00,3765,1923,7,229,-49
2026-06-30 05:45:00,3787,1815,19,226,-50
2026-06-30 06:00:00,3862,1672,31,234,-1
2026-06-30 06:15:00,4024,1639,52,240,8
2026-06-30 06:30:00,4090,1547,80,240,83
2026-06-30 06:45:00,4209,1447,106,235,158
2026-06-30 07:00:00,4340,1395,138,226,233
2026-06-30 07:15:00,4533,1274,155,223,308
2026-06-30 07:30:00,4658,1175,213,219,383
2026-06-30 07:45:00,4777,1096,222,215,458
2026-06-30 08:00:00,4859,1063,222,207,529
2026-06-30 08:15:00,4981,1006,225,210,530
2026-06-30 08:30:00,5028,917,310,209,530
2026-06-30 08:45:00,5046,907,305,208,530
2026-06-30 09:00:00,5103,882,403,205,530
2026-06-30 09:15:00,5123,821,446,211,530
2026-06-30 09:30:00,5117,739,597,206,530
2026-06-30 09:45:00,5104,744,658,207,530
2026-06-30 10:00:00,5084,710,625,210,530
2026-06-30 10:15:00,5033,668,666,211,530
2026-06-30 10:30:00,5046,645,836,204,530
2026-06-30 10:45:00,5011,664,656,211,530
2026-06-30 11:00:00,4989,593,665,213,530
2026-06-30 11:15:00,5003,601,735,208,530
2026-06-30 11:30:00,4985,587,823,204,530
2026-06-30 11:45:00,4920,594,793,205,530
2026-06-30 12:00:00,4901,543,975,195,530
2026-06-30 12:15:00,4916,672,782,200,530
2026-06-30 12:30:00,4934,677,698,204,530
2026-06-30 12:45:00,4925,670,716,207,530
2026-06-30 13:00:00,4913,684,847,199,530
2026-06-30 13:15:00,4913,757,920,197,530
2026-06-30 13:30:00,4849,762,687,210,530
2026-06-30 13:45:00,4864,753,889,201,530
2026-06-30 14:00:00,4811,842,862,197,530
2026-06-30 14:15:00,4788,861,886,193,509
2026-06-30 14:30:00,4792,961,720,202,434
2026-06-30 14:45:00,4753,1001,811,200,359
2026-06-30 15:00:00,4768,1112,812,206,284
2026-06-30 15:15:00,4771,1136,955,204,209
2026-06-30 15:30:00,4767,1286,809,211,134
2026-06-30 15:45:00,4819,1446,735,211,59
2026-06-30 16:00:00,4828,1542,799,205,1
2026-06-30 16:15:00,4884,1562,807,201,-43
2026-06-30 16:30:00,4921,1574,962,194,-43
2026-06-30 16:45:00,4953,1683,872,196,-43
2026-06-30 17:00:00,5008,1720,801,198,-43
2026-06-30 17:15:00,5079,1733,661,203,-43
2026-06-30 17:30:00,5117,1667,681,203,-43
2026-06-30 17:45:00,5118,1716,525,212,-43
2026-06-30 18:00:00,5161,1696,508,215,-43
2026-06-30 18:15:00,5149,1700,491,217,-43
2026-06-30 18:30:00,5146,1743,431,214,-43
2026-06-30 18:45:00,5134,1780,362,219,-43
2026-06-30 19:00:00,5117,1736,321,216,-43
2026-06-30 19:15:00,5074,1691,328,221,-43
2026-06-30 19:30:00,5040,1640,298,222,-43
2026-06-30 19:45:00,5014,1665,223,223,-43
2026-06-30 20:00:00,4993,1667,182,226,-43
2026-06-30 20:15:00,4976,1690,125,231,-43
2026-06-30 20:30:00,4957,1642,93,230,-43
2026-06-30 20:45:00,4937,1679,79,230,-43
2026-06-30 21:00:00,4914,1676,54,229,-43
2026-06-30 21:15:00,4885,1687,35,233,-43
2026-06-30 21:30:00,4832,1719,23,225,-6
2026-06-30 21:45:00,4783,1644,11,227,0
2026-06-30 22:00:00,4716,1558,3,229,0
2026-06-30 22:15:00,4686,1477,2,230,74
2026-06-30 22:30:00,4669,1477,2,230,51
2026-06-30 22:45:00,4579,1391,2,239,0
2026-06-30 23:00:00,4548,1241,2,250,0
2026-06-30 23:15:00,4518,1172,2,250,74
2026-06-30 23:30:00,4421,1184,2,248,149
2026-06-30 23:45:00,4331,1196,2,252,221
2026-07-01 00:00:00,4259,1203,2,250,269
2026-07-01 00:15:00,4237,1134,2,255,268
2026-07-01 00:30:00,4174,1015,2,264,262
2026-07-01 00:45:00,4106,977,3,268,239
2026-07-01 01:00:00,4053,927,2,268,301
2026-07-01 01:15:00,4024,822,2,270,360
2026-07-01 01:30:00,3986,792,2,272,355
2026-07-01 01:45:00,3953,766,2,271,390
2026-07-01 02:00:00,3946,720,2,268,465
2026-07-01 02:15:00,4085,727,2,265,530
2026-07-01 02:30:00,4062,710,2,265,530
2026-07-01 02:45:00,4021,697,2,265,530
2026-07-01 03:00:00,3972,670,2,268,530
2026-07-01 03:15:00,3963,590,2,279,530
2026-07-01 03:30:00,3931,594,2,279,530
2026-07-01 03:45:00,3896,604,2,278,530
2026-07-01 04:00:00,3873,601,2,278,530
2026-07-01 04:15:00,3863,617,2,277,530
2026-07-01 04:30:00,3834,610,2,277,530
2026-07-01 04:45:00,3801,591,2,277,530
2026-07-01 05:00:00,3796,579,2,276,530
2026-07-01 05:15:00,3846,590,4,274,530
2026-07-01 05:30:00,3841,572,13,257,530
2026-07-01 05:45:00,3876,535,24,254,530
2026-07-01 06:00:00,3934,506,45,251,530
2026-07-01 06:15:00,4112,508,82,249,530
2026-07-01 06:30:00,4176,512,107,247,530
2026-07-01 06:45:00,4297,480,117,250,530
2026-07-01 07:00:00,4439,411,140,240,530
2026-07-01 07:15:00,4622,359,167,237,530
2026-07-01 07:30:00,4718,337,201,229,530
2026-07-01 07:45:00,4833,341,217,234,530
2026-07-01 08:00:00,4928,314,244,232,530
2026-07-01 08:15:00,5053,334,289,226,530
2026-07-01 08:30:00,5105,372,354,219,530
2026-07-01 08:45:00,5165,469,377,218,530
2026-07-01 09:00:00,5185,443,377,219,530
2026-07-01 09:15:00,5211,427,442,221,530
2026-07-01 09:30:00,5184,514,406,221,530
2026-07-01 09:45:00,5184,522,494,220,530
2026-07-01 10:00:00,5128,557,565,216,530
2026-07-01 10:15:00,5074,644,652,213,530
