Datetime,DAM_Price,DAM_Volume,IDA1_Price,IDA1_Volume,IDA2_Price,IDA2_Volume,IDA3_Price,IDA3_Volume,ISP,DAM_Spread_to_ISP,IDA1_Spread_to_ISP,IDA2_Spread_to_ISP,IDA3_Spread_to_ISP,GB_DA_Price
2026-07-06 23:00:00,151.21,1225.4,196.0,366.2,,,,,152.82,-1.6099999999999852,43.18000000000001,,,119.85
2026-07-06 23:30:00,133.88,1248.9,170.12,395.7,,,,,103.64,30.239999999999995,66.48,,,119.85
2026-07-07 00:00:00,126.2,1176.5,139.03,355.0,,,,,83.33,42.870000000000005,55.7,,,115.17
2026-07-07 00:30:00,125.0,1213.4,132.13,399.3,,,,,84.64,40.36,47.489999999999995,,,115.17
2026-07-07 01:00:00,125.0,1214.0,145.0,385.9,,,,,93.62,31.379999999999995,51.379999999999995,,,107.54
2026-07-07 01:30:00,128.3,1265.3,151.04,424.1,,,,,149.65,-21.349999999999994,1.3899999999999864,,,107.54
2026-07-07 02:00:00,133.08,1241.7,153.1,435.5,,,,,125.27,7.8100000000000165,27.83,,,101.52
2026-07-07 02:30:00,127.0,1276.3,167.0,440.1,,,,,138.51,-11.509999999999991,28.49000000000001,,,101.52
2026-07-07 03:00:00,127.0,1237.1,147.0,441.1,,,,,120.66,6.340000000000003,26.340000000000003,,,98.79
2026-07-07 03:30:00,126.06,1219.6,147.21,434.0,,,,,123.07,2.990000000000009,24.140000000000015,,,98.79
2026-07-07 04:00:00,126.99,1217.0,141.01,419.7,,,,,215.43,-88.44000000000001,-74.42000000000002,,,101.85
2026-07-07 04:30:00,126.28,1174.3,131.6,364.2,,,,,146.64,-20.359999999999985,-15.039999999999992,,,101.85
2026-07-07 05:00:00,124.0,1181.5,124.0,418.3,,,,,87.29,36.709999999999994,36.709999999999994,,,111.0
2026-07-07 05:30:00,123.37,1115.6,119.29,342.8,,,,,84.92,38.45,34.370000000000005,,,111.0
2026-07-07 06:00:00,136.05,1237.4,149.65,480.5,,,,,86.97,49.08000000000001,62.68000000000001,,,120.68
2026-07-07 06:30:00,159.83,1212.0,210.0,431.4,,,,,109.05,50.780000000000015,100.95,,,120.68
2026-07-07 07:00:00,174.1,1405.7,215.91,534.1,,,,,224.38,-50.28,-8.469999999999999,,,127.07
2026-07-07 07:30:00,180.3,1331.6,215.0,441.7,,,,,179.39,0.910000000000025,35.610000000000014,,,127.07
2026-07-07 08:00:00,201.0,1376.9,221.0,532.9,,,,,145.9,55.099999999999994,75.1,,,117.69
2026-07-07 08:30:00,201.0,1381.1,201.0,494.7,,,,,91.9,109.1,109.1,,,117.69
2026-07-07 09:00:00,189.12,1450.7,173.56,526.9,,,,,99.55,89.57000000000001,74.01,,,105.67
2026-07-07 09:30:00,176.07,1495.3,176.07,525.6,,,,,210.37,-34.30000000000001,-34.30000000000001,,,105.67
2026-07-07 10:00:00,148.92,1365.0,150.18,443.3,,,,,92.1,56.81999999999999,58.08000000000001,,,95.59
2026-07-07 10:30:00,137.39,1347.3,127.8,447.5,,,,,68.77,68.61999999999999,59.03,,,95.59
2026-07-07 11:00:00,131.91,1355.5,111.9,451.3,108.37,39.6,,,72.35,59.56,39.55000000000001,36.02000000000001,,93.46
2026-07-07 11:30:00,114.64,1278.5,109.7,391.1,108.26,40.4,,,49.81,64.83,59.89,58.45,,93.46
2026-07-07 12:00:00,116.0,1367.3,108.84,412.0,102.3,40.0,,,94.23,21.769999999999996,14.61,8.069999999999993,,95.58
2026-07-07 12:30:00,125.58,1435.2,110.5,391.9,108.37,39.5,,,101.16,24.42,9.340000000000003,7.210000000000008,,95.58
2026-07-07 13:00:00,121.66,1425.1,103.66,373.0,111.94,53.1,,,142.38,-20.72,-38.72,-30.439999999999998,,96.04
2026-07-07 13:30:00,118.7,1393.0,99.28,341.9,110.19,49.0,,,119.13,-0.4299999999999926,-19.849999999999994,-8.939999999999998,,96.04
2026-07-07 14:00:00,125.99,1434.9,104.3,395.6,115.91,51.3,,,27.79,98.19999999999999,76.50999999999999,88.12,,107.53
2026-07-07 14:30:00,124.3,1401.3,100.2,365.3,114.34,52.0,,,72.36,51.94,27.840000000000003,41.980000000000004,,107.53
2026-07-07 15:00:00,121.64,1321.2,103.64,326.1,116.06,46.1,,,85.58,36.06,18.060000000000002,30.480000000000004,,113.87
2026-07-07 15:30:00,124.9,1309.9,114.54,335.3,125.0,49.4,,,108.43,16.47,6.109999999999999,16.569999999999993,,113.87
2026-07-07 16:00:00,124.01,1279.6,120.25,293.2,133.27,57.1,,,127.23,-3.219999999999999,-6.980000000000004,6.040000000000006,,117.53
2026-07-07 16:30:00,127.64,1165.7,118.06,215.9,120.36,45.0,,,63.13,64.50999999999999,54.93,57.23,,117.53
2026-07-07 17:00:00,126.2,1211.6,117.36,371.4,120.23,56.2,170.0,7.4,36.12,90.08000000000001,81.24000000000001,84.11000000000001,133.88,118.98
2026-07-07 17:30:00,135.5,1220.9,120.13,422.2,130.13,54.5,170.0,7.6,92.8,42.7,27.33,37.33,77.2,118.98
2026-07-07 18:00:00,166.96,1369.7,138.57,569.4,137.91,41.6,161.0,3.4,149.13,17.830000000000013,-10.560000000000002,-11.219999999999999,11.870000000000005,138.51
2026-07-07 18:30:00,181.5,1335.8,160.47,494.7,170.47,30.7,181.5,6.7,251.74,-70.24000000000001,-91.27000000000001,-81.27000000000001,-70.24000000000001,138.51
2026-07-07 19:00:00,191.5,1300.3,195.0,520.1,230.0,42.9,271.6,7.9,263.0,-71.5,-68.0,-33.0,8.600000000000023,145.83
2026-07-07 19:30:00,195.09,1224.3,227.9,498.6,260.0,44.1,274.0,7.9,412.62,-217.53,-184.72,-152.62,-138.62,145.83
2026-07-07 20:00:00,208.14,1212.8,225.0,529.9,260.0,56.1,300.1,8.9,487.41,-279.27000000000004,-262.41,-227.41000000000003,-187.31,151.87
2026-07-07 20:30:00,207.72,1189.7,200.0,533.5,235.0,42.7,235.0,6.2,407.44,-199.72,-207.44,-172.44,-172.44,151.87
